station_code,raw_station_code,station_id,station_name,province,amphoe,utok_id,basin_id,basin_name,group_id,group_name,zero_gauge_msl,bank_level_relative_m,bank_level_msl,warning_level_msl,critical_level_msl,ground_level,qmax
E.90,E.90,567,เนินยางใต้,กาฬสินธุ์,คำม่วง,3,4,ลุ่มน้ำชี,449,ลุ่มน้ำลำปาว,160.60000610351562,6.5,167.1,166.6,167.1,160.60000610351562,110.0
E.91,E.91,211,บ้านดอนขนวน,มหาสารคาม,โกสุมพิสัย,3,4,ลุ่มน้ำชี,745,ลุ่มน้ำชีกลาง,138.0,11.699999809265137,149.7,149.2,149.7,138.0,820.0
E.92,E.92,212,บ้านท่างาม,ร้อยเอ็ด,เสลภูมิ,3,4,ลุ่มน้ำชี,650,ลุ่มน้ำยัง,124.5,8.800000190734863,133.3,132.8,133.3,124.5,220.0
E.93,E.93,169,บ้านยาง,ชัยภูมิ,เกษตรสมบูรณ์,3,4,ลุ่มน้ำชี,714,ลุ่มน้ำพรม,225.5,5.599999904632568,231.1,230.6,231.1,225.5,150.0
E.95A,E.95A,213,บ้านธวัชดินแดง,ร้อยเอ็ด,ธวัชบุรี,3,4,ลุ่มน้ำชี,651,ลุ่มน้ำชีตอนล่าง,123.5999984741211,8.5,132.1,131.6,132.1,123.5999984741211,950.0
E.97,E.97,214,บ้านดอนขยอม,ยโสธร,คำเขื่อนแก้ว,3,4,ลุ่มน้ำชี,651,ลุ่มน้ำชีตอนล่าง,113.0,12.5,125.5,125.0,125.5,113.0,1200.0
X.112,X.112,480,บ้านตะเคียนเภา,สงขลา,สะเดา,8,23,ลุ่มน้ำทะเลสาบสงขลา,1250,คลองอู่ตะเภา (บน) จ.สงขลา,,25.049999237060547,25.05,24.55,25.05,,85.0
X.113,X.113,481,บ้านทุ่งปราบ,สงขลา,สะเดา,8,23,ลุ่มน้ำทะเลสาบสงขลา,1250,คลองอู่ตะเภา (บน) จ.สงขลา,,36.47999954223633,36.48,35.98,36.48,,104.5999984741211
X.170,X.170,485,บ้านคลองลำ,พัทลุง,ศรีนครินทร์,8,23,ลุ่มน้ำทะเลสาบสงขลา,1270,คลองลำ (ตอนบน) จ.พัทลุง,,25.200000762939453,25.2,24.7,25.2,,348.0
X.173A,X.173A,486,บ้านม่วงก็อง,สงขลา,สะเดา,8,23,ลุ่มน้ำทะเลสาบสงขลา,1250,คลองอู่ตะเภา (บน) จ.สงขลา,,16.1299991607666,16.13,15.63,16.13,,272.8999938964844
X.174,X.174,517,บ้านคลองหวะ,สงขลา,หาดใหญ่,8,23,ลุ่มน้ำทะเลสาบสงขลา,310,คลองหวะ จ.สงขลา,,8.880000114440918,,,,,190.10000610351562
X.181,X.181,701,คลองอู่ตะเภา,สงขลา,บางกล่ำ,8,23,ลุ่มน้ำทะเลสาบสงขลา,1269,คลองอู่ตะเภา (ล่าง) จ.สงขลา,,5.0,,,,,
